temperature,humidity,ph,rainfall,crop
25,60,6.5,200,Rice
30,55,6.8,150,Wheat
26,65,6.2,180,Maize
32,50,7.0,120,Barley
28,60,6.7,140,Sorghum
27,58,6.5,100,Oats
24,55,6.3,180,Ragi
22,65,5.8,90,Bajra
30,60,6.5,200,Corn
20,50,5.5,100,Peanut
35,40,7.2,50,Cotton
29,62,6.8,175,Millets
33,48,7.0,110,Sugarcane
22,75,5.8,100,Tomato
20,65,6.0,80,Carrot
18,70,5.5,90,Potato
21,72,6.3,130,Spinach
19,68,6.1,85,Lettuce
23,77,6.0,110,Cabbage
26,80,5.7,120,Cauliflower
24,70,6.4,95,Beans
28,65,6.5,160,Okra
30,55,6.8,150,Brinjal
25,60,6.2,140,Peas
29,75,6.3,190,Broccoli
31,50,7.0,130,BellPepper
27,60,6.7,170,Chili
20,78,6.1,110,Cucumber
21,80,6.2,115,Pumpkin
26,65,6.4,100,Zucchini
